"Sensor ID","Location ID","Location Name","Sensor Type","Unit of Measure","Latitude","Longitude"
"E1809","540801","Rachele Close, Forest Lake","Rainfall","mm","-27.631476","152.953555"
"E1531","540118","Bancroft Park, Kelvin Grove","Stream Height AHD","m","-27.444481","153.005314"
"E1515","540099","Chadston Close, Kenmore Hills","Rainfall","mm","-27.504712","152.924885"
"E1512","540117","ABQ-2 Mt Coot -tha","Rainfall","mm","-27.463952","152.947533"
"E2020","540071","Corinda High School, Corinda","Rainfall","mm","-27.546892","152.988372"
"E1886","540800","Rosewood Place, Murarrie","Rainfall","mm","-27.465266","153.094268"
"E2111","40788","Johnson Rd (Adermann Br), Forestdale","Stream Height AHD","m","-27.655308","153.000406"
"E1594","540286","Mouth of Breakfast Ck, Newstead","Stream Height AHD","m","-27.441564","153.047296"
"E1561","540124","Burralong St, Deagon","Stream Height AHD","m","-27.334180","153.058401"
"E1560","540124","Burralong St, Deagon","Rainfall","mm","-27.334180","153.058401"
"E1736","540029","Inala/Durack Bowls Club, Inala","Rainfall","mm","-27.588438","152.987051"
"E2121","40789","King Ave, Durack","Stream Height AHD","m","-27.593567","152.996778"
"E1518","540098","Wacol Sewage Treatment Plant, Wacol","Rainfall","mm","-27.579353","152.907165"
"E1857","540685","Hawthorne AL","Stream Height AHD","m","-27.460250","153.053569"
"E1855","540684","Port Office Gauge","Stream Height AHD","m","-27.471705","153.030841"
"E1854","540378","Brumby Circuit, Sumner","Stream Height AHD","m","-27.565807","152.930385"
"E1888","540803","BCC Asphalt Plant, Eagle Farm","Rainfall","mm","-27.439465","153.083616"
"E1549","540134","Joachim St, Holland Park West","Stream Height AHD","m","-27.521486","153.055421"
"E2114","40784","Beaudesert Rd (Telstra Exchange),Calamvale","Rainfall","mm","-27.610187","153.050145"
"E1764","540201","Moggill (BCC) AL","Stream Height AHD","m","-27.587144","152.864111"
"E1554","540132","Caswell St, East Brisbane","Rainfall","mm","-27.489611","153.049787"
"E1710","540804","Royal Pde, Ashgrove","Stream Height AHD","m","-27.446550","152.970140"
"E1596","540240","Tarana St, Camp Hill","Rainfall","mm","-27.495396","153.073013"
"E1528","540129","Doughboy Parade, Hemmant","Stream Height AHD","m","-27.448810","153.125969"
"E1850","540431","Frank Sleeman Pk, Boondall","Rainfall","mm","-27.361689","153.057626"
"E1580","540278","Byrneside St, Wynnum","Stream Height AHD","m","-27.440702","153.169379"
"E1548","540134","Joachim St, Holland Park West","Rainfall","mm","-27.521486","153.055421"
"E1727","540097","Oxley Ck at New Beith","Stream Height AHD","m","-27.730453","152.946878"
"E1839","540371","Jude St Reservoir, Bracken Ridge","Rainfall","mm","-27.321035","153.032052"
"E1588","540274","Mouth of Oxley Ck, Graceville","Stream Height AHD","m","-27.524684","152.994663"
"E1765","540682","Jindalee (BCC) AL","Stream Height AHD","m","-27.531969","152.928725"
"E1540","540111","Osborne Rd, Everton Park","Stream Height AHD","m","-27.403391","152.978646"
"E1884","540799","Lugg Street, Bardon","Stream Height AHD","m","-27.449165","152.991398"
"E1852","540465","Green Hill Reservoir, Russell Tce Chapel Hill","Rainfall","mm","-27.495048","152.957743"
"E2108","40788","Johnson Rd (Adermann Br), Forestdale","Rainfall","mm","-27.655308","153.000406"
"E1563","540120","Brickyard Rd, Geebung","Rainfall","mm","-27.382354","153.058800"
"E1742","540297","Pullenvale Hall, Pullenvale","Rainfall","mm","-27.523464","152.886260"
"E1873","540785","Baroona Rd, Bardon","Rainfall","mm","-27.465000","152.991000"
"E1755","540282","Harman Rec. Res., Manly","Rainfall","mm","-27.460602","153.182091"
"E1804","540127","Greenwood St, Wishart","Stream Height AHD","m","-27.559989","153.104185"
"E2023","540071","Corinda High School, Corinda","Stream Height AHD","m","-27.546892","152.988372"
"E1845","540469","Pound Ck, Hendra Pony Club, Nundah","Stream Height AHD","m","-27.400186","153.075580"
"E1572","540121","Collins Rd, Everton Hills","Rainfall","mm","-27.380613","152.979177"
"E1849","540433","Muriel Ave, Moorooka","Stream Height AHD","m","-27.542053","153.013724"
"E1527","540129","Doughboy Parade, Hemmant","Rainfall","mm","-27.448810","153.125969"
"E2138","40790","Griffith Uni, Mt Gravatt Campus","Rainfall","mm","-27.544760","153.063690"
"E1830","540126","Edwards Park (Merion Pl), Carindale","Rainfall","mm","-27.528264","153.105826"
"E1879","540791","Chandler (Bacton Rd) AL","Rainfall","mm","-27.510199","153.153680"
"E2116","40785","Blunder Ck at Richlands","Rainfall","mm","-27.599501","152.959274"
"E1836","540125","Gagarra St, Eight Mile Plains","Rainfall","mm","-27.583147","153.089181"
"E1851","540431","Frank Sleeman Pk, Boondall","Stream Height AHD","m","-27.361689","153.057626"
"E1739","540225","Wynnum Sewage Treatment Plant, Lytton","Rainfall","mm","-27.418952","153.163377"
"E1707","540128","Old Cleveland Rd, Carindale","Stream Height AHD","m","-27.501018","153.105435"
"E1747","540470","Dulcie St, Salisbury","Rainfall","mm","-27.549406","153.037578"
"E2125","40796","Beatty Rd, Acacia Ridge","Stream Height AHD","m","-27.584692","153.010010"
"E1752","540802","Queens Parade, Brighton","Rainfall","mm","-27.298900","153.056000"
"E1803","540127","Greenwood St, Wishart","Rainfall","mm","-27.559989","153.104185"
"E1573","540121","Collins Rd, Everton Hills","Stream Height AHD","m","-27.380613","152.979177"
"E1706","540128","Old Cleveland Rd, Carindale","Rainfall","mm","-27.501018","153.105435"
"E1578","540239","Sedgley Park, Alderley","Rainfall","mm","-27.429908","153.006030"
"E1847","540432","Marshall Rd (Behind Bunnings), Rocklea","Stream Height AHD","m","-27.553681","153.009734"
"E1745","540296","Pinjarra & Moggill Rds, Pinjarra Hills","Stream Height AHD","m","-27.549567","152.890822"
"E1524","540130","Mayne Railway Yards, Bowen Hills","Rainfall","mm","-27.441126","153.034819"
"E1557","540548","U/S Nudgee Rd, Nundah","Rainfall","mm","-27.407093","153.073602"
"E1749","540281","Anzac Park, Toowong","Rainfall","mm","-27.480220","152.979381"
"E1844","540469","Pound Ck, Hendra Pony Club, Nundah","Rainfall","mm","-27.400186","153.075580"
"E1507","540110","3 WAYS Brisbane Forest Park Mt. Nebo","Rainfall","mm","-27.443587","152.826974"
"E1539","540111","Osborne Rd, Everton Park","Rainfall","mm","-27.403391","152.978646"
"E1841","540369","Bulimba Library, Balmoral","Rainfall","mm","-27.452049","153.062915"
"E1575","540478","McCord St, Gordon Park","Rainfall","mm","-27.416507","153.032495"
"E1837","540322","Wynnum Bowls Club, Wynnum","Rainfall","mm","-27.443440","153.167319"
"E1831","540126","Edwards Park (Merion Pl), Carindale","Stream Height AHD","m","-27.528264","153.105826"
"E1576","540478","McCord St, Gordon Park","Stream Height AHD","m","-27.416507","153.032495"
"E1856","540683","St Lucia AL","Stream Height AHD","m","-27.504001","153.005872"
"E1564","540120","Brickyard Rd, Geebung","Stream Height AHD","m","-27.382354","153.058800"
"E1892","540822","Arnwood Pl, Ekibin","Stream Height AHD","m","-27.513348","153.039186"
"E1555","540132","Caswell St, East Brisbane","Stream Height AHD","m","-27.489611","153.049787"
"E1763","540636","Trouts Road, Everton Park","Stream Height AHD","m","-27.392514","152.996723"
"E1722","540061","Fortrose St, Kenmore","Stream Height AHD","m","-27.511376","152.926662"
"E2141","540279","Rickertt Rd, Ransome","Rainfall","mm","-27.485587","153.171280"
"E1702","540122","Pineapple St, Carseldine","Stream Height AHD","m","-27.352887","153.032022"
"E1566","540114","Aspley Reservoir, Aspley","Rainfall","mm","-27.373988","153.009476"
"E1875","540786","Gardner Rd, Rochedale","Rainfall","mm","-27.558197","153.121038"
"E1838","540372","Luggage Point Sewage Treatment Plant","Rainfall","mm","-27.381052","153.147312"
"E1843","540468","Cannery Ck (d/s Nudgee Rd), Northgate","Stream Height AHD","m","-27.392896","153.082018"
"E1570","540113","Stringy Bark Drive, Aspley","Stream Height AHD","m","-27.370485","153.005329"
"E2142","540279","Rickertt Rd, Ransome","Stream Height AHD","m","-27.485587","153.171280"
"E1890","540805","Oxley Creek, U/S Ipswich Mtwy","Stream Height AHD","m","-27.564680","152.990390"
"E1761","540466","Upper Kedron Rec. Res.,Upper Kedron","Rainfall","mm","-27.410440","152.922531"
"E2129","40791","Musgrave Rd, Coopers Plains","Stream Height AHD","m","-27.561940","153.026996"
"E1525","540130","Mayne Railway Yards, Bowen Hills","Stream Height AHD","m","-27.441126","153.034819"
"E1558","540548","U/S Nudgee Rd, Nundah","Stream Height AHD","m","-27.407093","153.073602"
