"Measured","E1809","E1531","E1515","E1512","E2020","E1886","E2111","E1594","E1561","E1560","E1736","E2121","E1518","E1857","E1855","E1854","E1888","E1549","E2114","E1764","E1554","E1710","E1596","E1528","E1850","E1580","E1548","E1727","E1839","E1588","E1765","E1540","E1884","E1852","E2108","E1563","E1742","E1873","E1755","E1804","E2023","E1845","E1572","E1849","E1527","E2138","E1830","E1879","E2116","E1836","E1851","E1739","E1707","E1747","E2125","E1752","E1803","E1573","E1706","E1578","E1847","E1745","E1524","E1557","E1749","E1844","E1507","E1539","E1841","E1575","E1837","E1831","E1576","E1856","E1564","E1892","E1555","E1763","E1722","E2141","E1702","E1566","E1875","E1838","E1843","E1570","E2142","E1890","E1761","E2129","E1525","E1558"
"2023-10-13T23:40:00","0","-","0","0","0","0","-","0.34","0.08","0","0","-","0","0.25","0.36","-","0","-","0","1.13","0","-","0","0.23","0","-","0","-","0","-","0.84","-","-","0","0","0","0","0","0","-","0.77","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","0.78","0.9","0","0","0","0","0","0","0","0","0","-","-","-","-","-","0.32","-","-","0","-","0","0","0","-","-","-","0.78","0","-","0.37","0.15"
"2023-10-13T23:45:00","0","-","0","0","0","0","-","0.29","-","0","0","-","0","-","0.32","-","0","-","0","-","0","-","0","0.18","0","-","0","-","0","0.73","0.82","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.55","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","0.37","0.1"
"2023-10-13T23:50:00","0","-","0","0","0","0","-","-","0.03","0","0","-","0","0.2","0.3","-","0","-","0","1.08","0","-","0","-","0","-","0","-","0","0.68","0.78","-","-","0","0","0","0","0","0","-","0.72","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.5","-","-","0.27","-","-","0","-","0","0","0","-","-","1.35","0.76","0","-","0.32","-"
"2023-10-13T23:55:00","0","-","0","0","0","0","-","0.24","-0.02","0","0","-","0","0.15","0.26","-","0","-","0","1.03","0","-","0","0.13","0","-","0","-","0","-","0.76","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","0.22","-","-","0","-","0","0","0","-","-","-","-","0","-","0.27","0.05"
"2023-10-14T00:00:00","0","-","0","0","0","0","18.43","0.19","-","0","0","-","0","-","0.22","-","0","-","0","-","0","-","0","0.08","0","-","0","-","0","0.63","0.74","-","-","0","0","0","0","0","0","-","0.67","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.45","-","-","0.17","-","-","0","-","0","0","0","-","-","-","0.74","0","-","-","0"
"2023-10-14T00:05:00","0","-","0","0","0","0","-","-","-0.07","0","0","-","0","0.1","0.2","-","0","-","0","0.98","0","-","0","-","0","-","0","-","0","-","0.7","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","0.22","0"
"2023-10-14T00:10:00","0","-","0","0","0","0","-","0.14","-0.12","0","0","-","0","0.05","0.16","-","0","-","0","-","0","-","0","0.03","0","-","0","-","0","0.58","0.68","-","-","0","0","0","0","0","0","-","0.62","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.4","-","-","0.12","-","-","0","-","0","0","0","-","-","-","-","0","4.22","0.17","-0.05"
"2023-10-14T00:15:00","0","-","0","0","0","0","-","0.09","-","0","0","-","0","-","0.12","-","0","-","0","0.93","0","-","0","-","0","-","0","-","0","0.53","0.66","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.35","-","-","0.07","-","-","0","-","0","0","0","0.42","-","-","0.72","0","-","-","-"
"2023-10-14T00:20:00","0","-","0","0","0","0","-","-","-0.17","0","0","-","0","0","0.1","-","0","-","0","0.88","0","-","0","-0.02","0","-","0","-","0","-","0.62","-","-","0","0","0","0","0","0","-","0.57","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","-","0","-","0.12","-0.1"
"2023-10-14T00:25:00","0","-","0","0","0","0","-","0.04","-0.22","0","0","-","0","-0.05","0.06","-","0","-","0","-","0","-","0","-0.07","0","-","0","-","0","0.48","0.6","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.3","-","-","0.02","-","-","0","-","0","0","0","0.42","-","-","0.7","0","-","0.07","-0.15"
"2023-10-14T00:30:00","0","-","0","0","0","0","-","-0.01","-","0","0","-","0","-","0.02","-","0","-","0","0.83","0","-","0","-","0","-","0","-","0","-","0.56","-","-","0","0","0","0","0","0","-","0.52","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","-","-","0","0","0","0","0","0","0","0","0","-","-","0.25","-","-","-0.03","-","-","0","-","0","0","0","-","26.47","-","-","0","-","-","-"
"2023-10-14T00:35:00","0","-","0","0","0","0","-","-","-0.27","0","0","-","0","-0.1","0","-","0","-","0","0.78","0","-","0","-0.12","0","-","0","-","0","0.43","0.54","-","-","0","0","0","0","0","0","-","-","-","0","-","0","0","0","0","0","0","-","0","-","0","-","0","0","-","0","0","0.76","-","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","0","-","0","0","0","-","-","-","0.68","0","-","0.02","-0.2"
